Month;MunicipalityNo;Industrycode_DE35;MeasurementPoints;TotalCon
2023-03-01 00:00;101;111;101107;14271370
2023-03-01 00:00;101;112;483;217935
2023-03-01 00:00;101;119;21579;11331109
2023-03-01 00:00;101;121;12848;6059703
2023-03-01 00:00;101;122;481;325268
2023-03-01 00:00;101;123;14;10664
2023-03-01 00:00;101;130;1877;169338
2023-03-01 00:00;101;310;98;544537
2023-03-01 00:00;101;320;40;65889
2023-03-01 00:00;101;330;22;13282
2023-03-01 00:00;101;340;280;878807
2023-03-01 00:00;101;350;61;1991228
2023-03-01 00:00;101;360;21;44584
2023-03-01 00:00;101;382;193;2966401
2023-03-01 00:00;101;390;103;248942
2023-03-01 00:00;101;410;655;1442326
2023-03-01 00:00;101;421;3958;8180913
2023-03-01 00:00;101;422;983;1480921
2023-03-01 00:00;101;431;901;4491818
2023-03-01 00:00;101;432;1367;8597557
2023-03-01 00:00;101;433;6978;12911292
2023-03-01 00:00;101;441;607;7246469
2023-03-01 00:00;101;443;414;7265479
2023-03-01 00:00;101;444;333;6214104
2023-03-01 00:00;101;445;780;3214250
2023-03-01 00:00;101;446;1188;5093448
2023-03-01 00:00;101;447;1200;7000180
2023-03-01 00:00;101;450;55;28535
2023-03-01 00:00;101;461;78;7376896
2023-03-01 00:00;101;462;88;567160
2023-03-01 00:00;101;999;215514;83930928
2023-03-01 00:00;147;111;23266;3459923
2023-03-01 00:00;147;112;30;9414
2023-03-01 00:00;147;119;3559;1816637
2023-03-01 00:00;147;121;851;334605
2023-03-01 00:00;147;310;11;49150
2023-03-01 00:00;147;340;26;13460
2023-03-01 00:00;147;382;11;7969
2023-03-01 00:00;147;390;14;8499
2023-03-01 00:00;147;410;107;62181
2023-03-01 00:00;147;421;815;1101475
2023-03-01 00:00;147;422;200;292520
2023-03-01 00:00;147;431;76;202496
2023-03-01 00:00;147;432;433;676211
2023-03-01 00:00;147;433;150;384324
2023-03-01 00:00;147;441;78;466449
2023-03-01 00:00;147;443;53;625971
2023-03-01 00:00;147;444;32;460317
2023-03-01 00:00;147;445;79;176023
2023-03-01 00:00;147;446;227;283497
2023-03-01 00:00;147;447;29;139490
2023-03-01 00:00;147;450;20;2084
2023-03-01 00:00;147;999;31822;11460447
2023-03-01 00:00;151;111;7712;1012704
2023-03-01 00:00;151;119;443;295243
2023-03-01 00:00;151;121;7099;2927006
2023-03-01 00:00;151;122;346;342058
2023-03-01 00:00;151;123;78;77163
2023-03-01 00:00;151;130;1864;299303
2023-03-01 00:00;151;340;21;609485
2023-03-01 00:00;151;350;11;673758
2023-03-01 00:00;151;382;85;2558679
