Month;MunicipalityNo;Industrycode_DE35;MeasurementPoints;TotalCon
2018-10-01 00:00;101;111;219806;29084817
2018-10-01 00:00;101;112;1023;338996
2018-10-01 00:00;101;119;16691;10890749
2018-10-01 00:00;101;121;21841;6813822
2018-10-01 00:00;101;122;829;460051
2018-10-01 00:00;101;123;18;12459
2018-10-01 00:00;101;130;2231;273188
2018-10-01 00:00;101;211;12;11204
2018-10-01 00:00;101;310;133;446193
2018-10-01 00:00;101;320;71;131986
2018-10-01 00:00;101;330;30;21937
2018-10-01 00:00;101;340;457;1343419
2018-10-01 00:00;101;350;77;2039043
2018-10-01 00:00;101;360;27;38050
2018-10-01 00:00;101;382;270;6296960
2018-10-01 00:00;101;390;139;325451
2018-10-01 00:00;101;410;949;2122523
2018-10-01 00:00;101;421;6069;11034458
2018-10-01 00:00;101;422;1621;2170917
2018-10-01 00:00;101;431;1236;6023355
2018-10-01 00:00;101;432;1847;12811504
2018-10-01 00:00;101;433;10818;20496142
2018-10-01 00:00;101;441;564;4507544
2018-10-01 00:00;101;443;476;7815707
2018-10-01 00:00;101;444;554;5412670
2018-10-01 00:00;101;445;851;3742294
2018-10-01 00:00;101;446;1472;5579062
2018-10-01 00:00;101;447;1504;8799645
2018-10-01 00:00;101;450;73;28545
2018-10-01 00:00;101;461;66;6027539
2018-10-01 00:00;101;462;93;262171
2018-10-01 00:00;101;999;65618;44173747
2018-10-01 00:00;147;111;45581;6900394
2018-10-01 00:00;147;112;80;35293
2018-10-01 00:00;147;119;3020;1879990
2018-10-01 00:00;147;121;1585;624823
2018-10-01 00:00;147;122;12;8733
2018-10-01 00:00;147;130;21;3381
2018-10-01 00:00;147;310;13;67408
2018-10-01 00:00;147;320;12;3892
2018-10-01 00:00;147;340;43;36224
2018-10-01 00:00;147;382;15;9022
2018-10-01 00:00;147;390;17;10716
2018-10-01 00:00;147;410;159;158721
2018-10-01 00:00;147;421;1297;1553964
2018-10-01 00:00;147;422;298;471087
2018-10-01 00:00;147;431;103;326830
2018-10-01 00:00;147;432;671;1019287
2018-10-01 00:00;147;433;221;1157262
2018-10-01 00:00;147;441;87;351787
2018-10-01 00:00;147;443;78;605823
2018-10-01 00:00;147;444;86;1215791
2018-10-01 00:00;147;445;158;521900
2018-10-01 00:00;147;446;288;237750
2018-10-01 00:00;147;447;66;334208
2018-10-01 00:00;147;450;212;204462
2018-10-01 00:00;147;999;8739;4511291
2018-10-01 00:00;151;111;11153;1432511
2018-10-01 00:00;151;119;98;120777
2018-10-01 00:00;151;121;8863;2561003
2018-10-01 00:00;151;122;417;280393
2018-10-01 00:00;151;123;87;59032
2018-10-01 00:00;151;130;2691;476200
2018-10-01 00:00;151;310;11;944161
2018-10-01 00:00;151;340;25;697330
2018-10-01 00:00;151;350;12;772321
2018-10-01 00:00;151;382;100;2978767
2018-10-01 00:00;151;390;12;260264
2018-10-01 00:00;151;410;71;147854
2018-10-01 00:00;151;421;153;1111527
2018-10-01 00:00;151;422;162;1156338
2018-10-01 00:00;151;431;49;261507
2018-10-01 00:00;151;432;533;2190225
2018-10-01 00:00;151;433;290;3474731
2018-10-01 00:00;151;441;89;376338
2018-10-01 00:00;151;442;21;43844
2018-10-01 00:00;151;443;47;669861
2018-10-01 00:00;151;444;34;106794
2018-10-01 00:00;151;445;78;340231
2018-10-01 00:00;151;446;148;233176
2018-10-01 00:00;151;447;145;732239
2018-10-01 00:00;151;450;30;6945
2018-10-01 00:00;151;461;17;219437
2018-10-01 00:00;151;462;21;29913
2018-10-01 00:00;151;999;3067;6983236
2018-10-01 00:00;153;111;8469;1203205
2018-10-01 00:00;153;119;162;419780
2018-10-01 00:00;153;121;4998;1404349
2018-10-01 00:00;153;122;177;129214
2018-10-01 00:00;153;123;23;14107
2018-10-01 00:00;153;130;913;160988
2018-10-01 00:00;153;340;19;214918
2018-10-01 00:00;153;350;23;228877
2018-10-01 00:00;153;382;67;1407684
2018-10-01 00:00;153;410;36;103341
2018-10-01 00:00;153;421;61;201709
2018-10-01 00:00;153;422;197;1317094
2018-10-01 00:00;153;431;19;97520
2018-10-01 00:00;153;432;295;940573
2018-10-01 00:00;153;433;162;907079
