Month;MunicipalityNo;Industrycode_DE35;MeasurementPoints;TotalCon
2021-08-01 00:00;101;111;112874;14642330
2021-08-01 00:00;101;112;543;104041
2021-08-01 00:00;101;119;19470;9408231
2021-08-01 00:00;101;121;13551;4404151
2021-08-01 00:00;101;122;521;156428
2021-08-01 00:00;101;123;13;4363
2021-08-01 00:00;101;130;2004;273364
2021-08-01 00:00;101;211;12;9493
2021-08-01 00:00;101;310;102;281437
2021-08-01 00:00;101;320;45;55590
2021-08-01 00:00;101;330;25;19254
2021-08-01 00:00;101;340;325;1072856
2021-08-01 00:00;101;350;64;2247148
2021-08-01 00:00;101;360;21;49060
2021-08-01 00:00;101;382;214;4553884
2021-08-01 00:00;101;390;113;217499
2021-08-01 00:00;101;410;725;1262562
2021-08-01 00:00;101;421;4470;9808384
2021-08-01 00:00;101;422;1132;1572914
2021-08-01 00:00;101;431;965;4629111
2021-08-01 00:00;101;432;1505;11726537
2021-08-01 00:00;101;433;8097;14955890
2021-08-01 00:00;101;441;552;2747188
2021-08-01 00:00;101;443;423;7194479
2021-08-01 00:00;101;444;387;5762800
2021-08-01 00:00;101;445;801;3185385
2021-08-01 00:00;101;446;1273;5596566
2021-08-01 00:00;101;447;1288;7084946
2021-08-01 00:00;101;450;63;15922
2021-08-01 00:00;101;461;73;8100654
2021-08-01 00:00;101;462;91;254684
2021-08-01 00:00;101;999;197887;67239557
2021-08-01 00:00;147;111;25986;3522528
2021-08-01 00:00;147;112;38;5694
2021-08-01 00:00;147;119;3357;1678588
2021-08-01 00:00;147;121;887;301615
2021-08-01 00:00;147;310;11;61727
2021-08-01 00:00;147;340;36;28831
2021-08-01 00:00;147;382;12;6235
2021-08-01 00:00;147;390;16;8644
2021-08-01 00:00;147;410;123;71013
2021-08-01 00:00;147;421;958;1317101
2021-08-01 00:00;147;422;227;407076
2021-08-01 00:00;147;431;80;230434
2021-08-01 00:00;147;432;507;778378
2021-08-01 00:00;147;433;190;564856
2021-08-01 00:00;147;441;85;354007
2021-08-01 00:00;147;443;70;501987
2021-08-01 00:00;147;444;66;1087965
2021-08-01 00:00;147;445;142;372147
2021-08-01 00:00;147;446;241;251539
2021-08-01 00:00;147;447;54;258962
2021-08-01 00:00;147;450;199;128652
2021-08-01 00:00;147;999;28688;9652124
2021-08-01 00:00;151;111;8343;1045226
2021-08-01 00:00;151;119;213;141963
